taxonID,scientificName,tip_label,family,genus,species,split_length,author.x,genus_hybrid,species_hybrid,taxon_rank,infra_name,comment,usable,id,family.apg,taxon_status,author.y,accepted_plant_name_id,match_type
473045,Hypericum kalmianum,Hypericum kalmianum,Hypericaceae,Hypericum,kalmianum,2,,,,species,,,,38770,Hypericaceae,Invalid,Vahl,523221-wcs,
504268,Croton xalapensis,Croton xalapensis,Euphorbiaceae,Croton,xalapensis,2,,,,species,,,,40940,Euphorbiaceae,Illegitimate,Hookf,51141-wcs,
504268,Croton xalapensis,Croton xalapensis,Euphorbiaceae,Croton,xalapensis,2,,,,species,,,,40940,Euphorbiaceae,Accepted,Kunth,51532-wcs,
509667,Crepis incarnata,Crepis incarnata,Asteraceae,Crepis,incarnata,2,,,,species,,,,41086,Asteraceae,Synonym,Vis,1057423-az,
509667,Crepis incarnata,Crepis incarnata,Asteraceae,Crepis,incarnata,2,,,,species,,,,41086,Asteraceae,Synonym,Tausch,1057016-az,
529435,Eleocharis filiculmis,Eleocharis filiculmis,Cyperaceae,Eleocharis,filiculmis,2,,,,species,,,,41727,Cyperaceae,Illegitimate,Schur,372738-wcs,
529435,Eleocharis filiculmis,Eleocharis filiculmis,Cyperaceae,Eleocharis,filiculmis,2,,,,species,,,,41727,Cyperaceae,Accepted,Kunth,242489-wcs,
554380,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,Araliaceae,Hydrocotyle,ranunculoides,2,,,,species,,,,42496,Araliaceae,Illegitimate,Blume,1265298-az,
554380,Hydrocotyle ranunculoides,Hydrocotyle ranunculoides,Araliaceae,Hydrocotyle,ranunculoides,2,,,,species,,,,42496,Araliaceae,Accepted,Lf,856276-az,
572160,Talinum lineare,Talinum lineare,Talinaceae,Talinum,lineare,2,,,,species,,,,43094,Talinaceae,Accepted,Kunth,513489-az,
572160,Talinum lineare,Talinum lineare,Talinaceae,Talinum,lineare,2,,,,species,,,,43094,Talinaceae,Illegitimate,Hoffmanns,690712-az,
675702,Argostemma bifolium,Argostemma bifolium,Rubiaceae,Argostemma,bifolium,2,Ridl,,,species,,,,46019,Rubiaceae,Accepted,Ridl,14796-wcs,matching authors
675702,Argostemma bifolium,Argostemma bifolium,Rubiaceae,Argostemma,bifolium,2,Ridl,,,species,,,,46019,Rubiaceae,Illegitimate,Ridl,14942-wcs,matching authors
703408,Luziola peruviana,Luziola peruviana,Poaceae,Luziola,peruviana,2,,,,species,,,,47044,Poaceae,Accepted,JFGmel,423167-wcs,
703408,Luziola peruviana,Luziola peruviana,Poaceae,Luziola,peruviana,2,,,,species,,,,47044,Poaceae,Invalid,GMeyexBenth,423172-wcs,
860129,Onosma rigida,Onosma rigida,Boraginaceae,Onosma,rigida,2,Ledeb,,,species,,,,48960,Boraginaceae,Illegitimate,Ledeb,392610-az,matching authors
860129,Onosma rigida,Onosma rigida,Boraginaceae,Onosma,rigida,2,Ledeb,,,species,,,,48960,Boraginaceae,Accepted,Ledeb,1233176-az,matching authors
912364,Croton luetzelburgii,Croton luetzelburgii,Euphorbiaceae,Croton,luetzelburgii,2,Pax&KHoffm,,,species,,,,50172,Euphorbiaceae,Illegitimate,Pax&KHoffm,49304-wcs,matching authors
912364,Croton luetzelburgii,Croton luetzelburgii,Euphorbiaceae,Croton,luetzelburgii,2,Pax&KHoffm,,,species,,,,50172,Euphorbiaceae,Accepted,Pax&KHoffm,50418-wcs,matching authors
933129,Salvia discolor,Salvia discolor,Lamiaceae,Salvia,discolor,2,,,,species,,,,50426,Lamiaceae,Illegitimate,Sennen,184123-wcs,
933129,Salvia discolor,Salvia discolor,Lamiaceae,Salvia,discolor,2,,,,species,,,,50426,Lamiaceae,Accepted,Kunth,182523-wcs,
933129,Salvia discolor,Salvia discolor,Lamiaceae,Salvia,discolor,2,,,,species,,,,50426,Lamiaceae,Illegitimate,Sessé&Moc,183035-wcs,
1007763,Gladiolus erectiflorus,Gladiolus erectiflorus,Iridaceae,Gladiolus,erectiflorus,2,Baker,,,species,,,,51976,Iridaceae,Illegitimate,Baker,328966-wcs,matching authors
1007763,Gladiolus erectiflorus,Gladiolus erectiflorus,Iridaceae,Gladiolus,erectiflorus,2,Baker,,,species,,,,51976,Iridaceae,Accepted,Baker,328399-wcs,matching authors
1030379,Leucocroton revolutus,Leucocroton revolutus,Euphorbiaceae,Leucocroton,revolutus,2,CWright,,,species,,,,52497,Euphorbiaceae,Illegitimate,CWright,111964-wcs,matching authors
1030379,Leucocroton revolutus,Leucocroton revolutus,Euphorbiaceae,Leucocroton,revolutus,2,CWright,,,species,,,,52497,Euphorbiaceae,Accepted,CWright,111979-wcs,matching authors
1046493,Euphorbia orbiculata,Euphorbia orbiculata,Euphorbiaceae,Euphorbia,orbiculata,2,,,,species,,,,53292,Euphorbiaceae,Accepted,Kunth,81244-wcs,
1046493,Euphorbia orbiculata,Euphorbia orbiculata,Euphorbiaceae,Euphorbia,orbiculata,2,,,,species,,,,53292,Euphorbiaceae,Illegitimate,Miq,38007-wcs,
1049822,Opuntia longispina,Opuntia longispina,Cactaceae,Opuntia,longispina,2,,,,species,,,,53449,Cactaceae,Illegitimate,Pfeiff,391827-az,
1049822,Opuntia longispina,Opuntia longispina,Cactaceae,Opuntia,longispina,2,,,,species,,,,53449,Cactaceae,Synonym,Haw,626971-az,
1137029,Hypericum strictum,Hypericum strictum,Hypericaceae,Hypericum,strictum,2,,,,species,,,,56377,Hypericaceae,Accepted,Kunth,516697-wcs,
1137029,Hypericum strictum,Hypericum strictum,Hypericaceae,Hypericum,strictum,2,,,,species,,,,56377,Hypericaceae,Illegitimate,Malleev,516050-wcs,
1137038,Hypericum thymifolium,Hypericum thymifolium,Hypericaceae,Hypericum,thymifolium,2,,,,species,,,,56386,Hypericaceae,Accepted,Banks&Sol,516790-wcs,
1137038,Hypericum thymifolium,Hypericum thymifolium,Hypericaceae,Hypericum,thymifolium,2,,,,species,,,,56386,Hypericaceae,Illegitimate,Kunth,515649-wcs,
1200757,Habenaria stenopetala,Habenaria stenopetala,Orchidaceae,Habenaria,stenopetala,2,Lindl,,,species,,,,58223,Orchidaceae,Synonym,Lindl,95494-wcs,matching authors
